Outlook,Temperature,Humidity,Wind,Play_Badminton
Overcast,Cool,High,Weak,Yes
Sunny,Mild,Normal,Strong,No
Rain,Mild,Normal,Strong,No
Sunny,Cool,High,Weak,Yes
Sunny,Cool,High,Strong,No
Sunny,Mild,High,Strong,No
Rain,Cool,Normal,Strong,No
Rain,Cool,High,Strong,No
Sunny,Hot,High,Strong,No
Sunny,Hot,Normal,Strong,No
Overcast,Mild,High,Strong,No
Overcast,Hot,High,Strong,No
Sunny,Mild,High,Weak,Yes
Overcast,Hot,Normal,Strong,No
Sunny,Hot,Normal,Weak,Yes
Overcast,Cool,Normal,Strong,No
Rain,Cool,High,Weak,No
Sunny,Hot,High,Weak,Yes
Rain,Hot,High,Weak,No
Overcast,Cool,High,Strong,No
Rain,Hot,Normal,Strong,No
Rain,Mild,Normal,Weak,No
Sunny,Cool,Normal,Weak,Yes
Rain,Mild,High,Weak,No
Overcast,Cool,Normal,Weak,Yes
Rain,Cool,Normal,Weak,No
Rain,Hot,High,Strong,No
Overcast,Hot,Normal,Weak,Yes
Overcast,Mild,High,Weak,Yes
Rain,Mild,High,Strong,No
Overcast,Hot,High,Weak,Yes
Overcast,Mild,Normal,Weak,Yes
Sunny,Cool,Normal,Strong,No
Rain,Hot,Normal,Weak,No
Sunny,Mild,Normal,Weak,Yes
Overcast,Mild,Normal,Strong,No
